id,HTTeflon,HTCheese,RATeflonInc,RACheeseInc,RATeflonExc,RACheeseExc
1,0.99896,1.04525,0.99349,1.01322,0.99349,1.01322
2,0.98553,0.99157,1.00172,1.03931,0.99867,1.01583
3,1.00469,1.00583,0.99867,1.01583,0.95622,1.01890
4,1.02362,1.00883,1.01179,1.05953,0.99982,1.03144
5,1.00147,0.98986,0.95622,1.01890,1.00138,1.00760
6,0.98906,0.99980,0.99982,1.03144,1.00404,1.01506
7,0.99350,1.01278,1.00138,1.00760,0.99284,1.00068
8,0.98705,0.99750,1.00404,1.01506,1.00176,1.01503
9,0.99203,0.99096,0.99284,1.00068,0.98262,0.99538
10,x,x,1.00176,1.01503,x,x
11,x,x,0.98262,0.99538,x,x
12,x,x,0.99663,1.02826,x,x